Country Name,Date,Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Population: Total (count),Finance: GDP per capita (current US$),Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
"Congo, Dem. Rep.",7/1/2000,15000,0,181,49626200,87,0.00030,4.46591,5.19850,Africa
Ethiopia,7/1/2000,17757,0,141,65577897,125,0.00027,4.82831,4.94876,Africa
Burundi,7/1/2000,16320,0,164,6374347,131,0.00256,4.87520,5.09987,Africa
Sierra Leone,7/1/2000,11940,0,233,4143115,153,0.00288,5.03044,5.45104,Africa
Malawi,7/1/2000,49000,0,167,11228756,155,0.00436,5.04343,5.11799,Africa
Niger,7/1/2000,2056,0,218,10922421,165,0.00019,5.10595,5.38450,Africa
Chad,7/1/2000,5500,0,190,8222327,168,0.00067,5.12396,5.24702,Africa
Eritrea,7/1/2000,0,0,93,3667576,173,0.00000,5.15329,4.53260,Africa
Guinea-Bissau,7/1/2000,0,0,177,1240655,174,0.00000,5.15906,5.17615,Africa
Liberia,7/1/2000,1500,0,169,2847290,186,0.00053,5.22575,5.12990,Africa
Burkina Faso,7/1/2000,25245,0,191,12294012,212,0.00205,5.35659,5.25227,Africa
Mali,7/1/2000,10398,0,213,11295324,214,0.00092,5.36598,5.36129,Africa
Rwanda,7/1/2000,39000,0,177,8098344,214,0.00482,5.36598,5.17615,Africa
Mozambique,7/1/2000,51065,0,177,18200656,233,0.00281,5.45104,5.17615,Africa
Madagascar,7/1/2000,63094,0,102,15364272,252,0.00411,5.52943,4.62497,Africa
Uganda,7/1/2000,126913,0,144,24213120,256,0.00524,5.54518,4.96981,Africa
Central African Republic,7/1/2000,4967,0,176,3701607,259,0.00134,5.55683,5.17048,Africa
Ghana,7/1/2000,130045,0,99,19165490,260,0.00679,5.56068,4.59512,Africa
Togo,7/1/2000,50000,2,124,4793504,270,0.01043,5.59842,4.82028,Africa
Tanzania,7/1/2000,110518,0,130,34038161,308,0.00325,5.73010,4.86753,Africa
Zambia,7/1/2000,98853,0,157,10201562,317,0.00969,5.75890,5.05625,Africa
Benin,7/1/2000,55476,0,143,6517810,346,0.00851,5.84644,4.96284,Africa
Comoros,7/1/2000,0,0,104,562469,359,0.00000,5.88332,4.64439,Africa
Sudan,7/1/2000,23000,0,114,27556383,362,0.00083,5.89164,4.73620,Africa
Nigeria,7/1/2000,30000,0,186,123688536,372,0.00024,5.91889,5.22575,Africa
Guinea,7/1/2000,42112,0,175,8344486,373,0.00505,5.92158,5.16479,Africa
Lesotho,7/1/2000,21600,0,127,1963878,380,0.01100,5.94017,4.84419,Africa
Kenya,7/1/2000,127404,0,111,31253701,406,0.00408,6.00635,4.70953,Africa
Mauritania,7/1/2000,15300,0,116,2642743,490,0.00579,6.19441,4.75359,Africa
Senegal,7/1/2000,250251,0,119,9505862,494,0.02633,6.20254,4.77912,Africa
Zimbabwe,7/1/2000,266441,0,115,12509477,535,0.02130,6.28227,4.74493,Africa
"Gambia, The",7/1/2000,5600,1,128,1297084,606,0.00432,6.40688,4.85203,Africa
Cote d'Ivoire,7/1/2000,472952,0,148,16581653,628,0.02852,6.44254,4.99721,Africa
Cameroon,7/1/2000,103279,0,148,15678269,643,0.00659,6.46614,4.99721,Africa
Angola,7/1/2000,25806,0,200,13926373,656,0.00185,6.48616,5.29832,Africa
Djibouti,7/1/2000,230,0,106,731930,753,0.00031,6.62407,4.66344,Africa
"Congo, Rep.",7/1/2000,70000,0,104,3135773,1027,0.02232,6.93440,4.64439,Africa
Cape Verde,7/1/2000,19729,2,46,437238,1233,0.04512,7.11721,3.82864,Africa
Morocco,7/1/2000,2342000,1,55,28793236,1272,0.08134,7.14835,4.00733,Africa
"Egypt, Arab Rep.",7/1/2000,1359900,1,47,67648419,1476,0.02010,7.29709,3.85015,Africa
Swaziland,7/1/2000,33000,1,114,1010787,1508,0.03265,7.31854,4.73620,Africa
Algeria,7/1/2000,86000,0,49,30533827,1794,0.00282,7.49220,3.89182,Africa
Namibia,7/1/2000,82000,2,74,1895839,2062,0.04325,7.63143,4.30407,Africa
Tunisia,7/1/2000,119165,3,28,9563500,2245,0.01246,7.71646,3.33220,Africa
Equatorial Guinea,7/1/2000,5000,0,152,520380,2410,0.00961,7.78738,5.02388,Africa
South Africa,7/1/2000,8339000,5,78,44000000,3020,0.18952,8.01301,4.35671,Africa
Botswana,7/1/2000,222190,3,96,1757925,3204,0.12639,8.07216,4.56435,Africa
Mauritius,7/1/2000,180000,7,19,1186873,3861,0.15166,8.25868,2.94444,Africa
Gabon,7/1/2000,120000,1,88,1235274,4103,0.09714,8.31947,4.47734,Africa
Libya,7/1/2000,40000,0,27,5231189,6480,0.00765,8.77648,3.29584,Africa
Seychelles,7/1/2000,25961,7,14,81131,7579,0.31999,8.93314,2.63906,Africa
Tajikistan,7/1/2000,1160,0,93,6172807,139,0.00019,4.93447,4.53260,Asia
Nepal,7/1/2000,10226,0,84,24400606,225,0.00042,5.41610,4.43082,Asia
Kyrgyz Republic,7/1/2000,9000,1,52,4898400,280,0.00184,5.63479,3.95124,Asia
Cambodia,7/1/2000,130547,0,103,12446949,294,0.01049,5.68358,4.63473,Asia
Lao PDR,7/1/2000,12681,0,88,5317060,326,0.00238,5.78690,4.47734,Asia
Bangladesh,7/1/2000,279000,0,86,129592275,364,0.00215,5.89715,4.45435,Asia
Vietnam,7/1/2000,788559,0,35,77630900,402,0.01016,5.99645,3.55535,Asia
India,7/1/2000,3577095,1,86,1053898107,450,0.00339,6.10925,4.45435,Asia
Mongolia,7/1/2000,154600,1,61,2411369,471,0.06411,6.15486,4.11087,Asia
Uzbekistan,7/1/2000,53128,0,63,24650400,558,0.00216,6.32436,4.14313,Asia
Armenia,7/1/2000,17486,1,33,3076098,621,0.00568,6.43133,3.49651,Asia
Turkmenistan,7/1/2000,7500,0,74,4501419,645,0.00167,6.46925,4.30407,Asia
Azerbaijan,7/1/2000,420400,0,67,8048600,655,0.05223,6.48464,4.20469,Asia
Georgia,7/1/2000,194741,1,33,4418300,692,0.04408,6.53959,3.49651,Asia
Bhutan,7/1/2000,0,0,89,571262,749,0.00000,6.61874,4.48864,Asia
Indonesia,7/1/2000,3669327,1,54,213395411,773,0.01719,6.65028,3.98898,Asia
Sri Lanka,7/1/2000,430202,1,23,19102000,855,0.02252,6.75110,3.13549,Asia
China,7/1/2000,85260000,2,33,1262645000,949,0.06752,6.85541,3.49651,Asia
Philippines,7/1/2000,6454359,2,40,77309965,1048,0.08349,6.95464,3.68888,Asia
Kazakhstan,7/1/2000,197300,1,44,14883626,1229,0.01326,7.11396,3.78419,Asia
Thailand,7/1/2000,3056000,4,18,63155029,1943,0.04839,7.57199,2.89037,Asia
Maldives,7/1/2000,7638,2,47,273236,2285,0.02795,7.73412,3.85015,Asia
Malaysia,7/1/2000,5121748,21,11,23414909,4006,0.21874,8.29555,2.39790,Asia
"Korea, Rep.",7/1/2000,26816398,44,6,47008000,11347,0.57046,9.33671,1.79176,Asia
Brunei Darussalam,7/1/2000,95000,9,9,327036,18350,0.29049,9.81738,2.19722,Asia
Singapore,7/1/2000,2747400,35,4,4027900,23815,0.68209,10.07807,1.38629,Asia
Japan,7/1/2000,66784374,30,5,126870000,37292,0.52640,10.52653,1.60944,Asia
Moldova,7/1/2000,139000,1,26,3639588,354,0.03819,5.86930,3.25810,Europe
Ukraine,7/1/2000,818524,1,18,49175848,636,0.01664,6.45520,2.89037,Europe
Albania,7/1/2000,29791,0,29,3071856,1200,0.00970,7.09008,3.36730,Europe
Belarus,7/1/2000,49353,2,14,10005000,1273,0.00493,7.14913,2.63906,Europe
Bosnia and Herzegovina,7/1/2000,93386,1,10,3693698,1491,0.02528,7.30720,2.30259,Europe
Bulgaria,7/1/2000,738000,5,21,8170172,1579,0.09033,7.36455,3.04452,Europe
Romania,7/1/2000,2499000,4,27,22442971,1651,0.11135,7.40914,3.29584,Europe
Russian Federation,7/1/2000,3263200,2,23,146303000,1775,0.02230,7.48156,3.13549,Europe
"Macedonia, FYR",7/1/2000,115748,2,16,2009091,1785,0.05761,7.48717,2.77259,Europe
Lithuania,7/1/2000,524000,6,12,3499536,3267,0.14973,8.09163,2.48491,Europe
Latvia,7/1/2000,401272,6,17,2372985,3301,0.16910,8.10198,2.83321,Europe
Estonia,7/1/2000,557000,29,13,1369515,4144,0.40671,8.32942,2.56495,Europe
Turkey,7/1/2000,16133405,4,43,63627862,4189,0.25356,8.34022,3.76120,Europe
Poland,7/1/2000,6747000,7,10,38453757,4454,0.17546,8.40156,2.30259,Europe
Hungary,7/1/2000,3076279,7,11,10210971,4543,0.30127,8.42134,2.39790,Europe
Croatia,7/1/2000,1033000,7,8,4426000,4862,0.23339,8.48921,2.07944,Europe
Slovak Republic,7/1/2000,1243736,9,12,5388720,5330,0.23080,8.58111,2.48491,Europe
Czech Republic,7/1/2000,4346009,10,7,10272322,5725,0.42308,8.65260,1.94591,Europe
Slovenia,7/1/2000,1215601,15,5,1988925,10045,0.61118,9.21483,1.60944,Europe
Malta,7/1/2000,114444,14,8,381363,10377,0.30009,9.24735,2.07944,Europe
Greece,7/1/2000,5932403,9,8,10917482,11396,0.54339,9.34102,2.07944,Europe
Portugal,7/1/2000,6664951,17,7,10225836,11471,0.65178,9.34758,1.94591,Europe
Cyprus,7/1/2000,218324,15,7,943294,13422,0.23145,9.50465,1.94591,Europe
Spain,7/1/2000,24265059,14,7,40263216,14414,0.60266,9.57596,1.94591,Europe
Andorra,7/1/2000,23543,11,5,64634,17539,0.36425,9.77218,1.60944,Europe
Italy,7/1/2000,42246000,23,6,56942108,19388,0.74191,9.87241,1.79176,Europe
France,7/1/2000,29052360,14,5,60910922,21775,0.47696,9.98852,1.60944,Europe
Belgium,7/1/2000,5629000,29,6,10251250,22697,0.54910,10.02999,1.79176,Europe
Germany,7/1/2000,48202000,30,5,82211508,22946,0.58632,10.04090,1.60944,Europe
Finland,7/1/2000,3728625,37,4,5176209,23530,0.72034,10.06603,1.38629,Europe
Austria,7/1/2000,6117000,34,6,8011566,23974,0.76352,10.08473,1.79176,Europe
Netherlands,7/1/2000,10755000,44,6,15925513,24180,0.67533,10.09328,1.79176,Europe
United Kingdom,7/1/2000,43452000,27,7,58892514,25083,0.73782,10.12995,1.94591,Europe
Ireland,7/1/2000,2461000,18,7,3805174,25629,0.64675,10.15148,1.94591,Europe
Sweden,7/1/2000,6372300,46,4,8872109,27869,0.71824,10.23527,1.38629,Europe
San Marino,7/1/2000,14503,49,5,26967,28698,0.53781,10.26458,1.60944,Europe
Denmark,7/1/2000,3363552,39,6,5339616,29980,0.62992,10.30829,1.79176,Europe
Iceland,7/1/2000,214896,44,4,281205,30929,0.76420,10.33945,1.38629,Europe
Switzerland,7/1/2000,4638519,47,6,7184250,34787,0.64565,10.45700,1.79176,Europe
Norway,7/1/2000,3224000,27,5,4490967,37473,0.71789,10.53138,1.60944,Europe
Luxembourg,7/1/2000,303274,23,5,436300,46458,0.69510,10.74630,1.60944,Europe
Liechtenstein,7/1/2000,10000,37,6,32853,75606,0.30439,11.23329,1.79176,Europe
"Yemen, Rep.",7/1/2000,32042,0,100,17723186,544,0.00181,6.29895,4.60517,Middle East
Syrian Arab Republic,7/1/2000,30000,0,23,15988534,1209,0.00188,7.09755,3.13549,Middle East
"Iran, Islamic Rep.",7/1/2000,962595,1,44,65342319,1550,0.01473,7.34601,3.78419,Middle East
Jordan,7/1/2000,388949,3,29,4797500,1764,0.08107,7.47534,3.36730,Middle East
Lebanon,7/1/2000,743000,8,29,3742329,4612,0.19854,8.43642,3.36730,Middle East
Oman,7/1/2000,162000,4,22,2264163,8775,0.07155,9.07966,3.09104,Middle East
Saudi Arabia,7/1/2000,1375881,2,26,20045276,9401,0.06864,9.14857,3.25810,Middle East
Bahrain,7/1/2000,205727,6,12,638193,12489,0.32236,9.43260,2.48491,Middle East
Kuwait,7/1/2000,476000,7,13,1940786,19434,0.24526,9.87478,2.56495,Middle East
Israel,7/1/2000,4400000,20,7,6289000,19859,0.69963,9.89641,1.94591,Middle East
Qatar,7/1/2000,120856,5,13,590957,30053,0.20451,10.31072,2.56495,Middle East
United Arab Emirates,7/1/2000,1428115,24,12,3033491,34395,0.47078,10.44567,2.48491,Middle East
Papua New Guinea,7/1/2000,8560,1,74,5378824,655,0.00159,6.48464,4.30407,Oceania
Kiribati,7/1/2000,300,2,65,84010,812,0.00357,6.69950,4.17439,Oceania
Solomon Islands,7/1/2000,1151,0,35,408732,1065,0.00282,6.97073,3.55535,Oceania
Samoa,7/1/2000,2500,1,23,176549,1391,0.01416,7.23778,3.13549,Oceania
Vanuatu,7/1/2000,365,2,23,185074,1470,0.00197,7.29302,3.13549,Oceania
Tonga,7/1/2000,180,2,20,97935,1926,0.00184,7.56320,2.99573,Oceania
Fiji,7/1/2000,55057,1,23,811718,2075,0.06783,7.63772,3.13549,Oceania
Marshall Islands,7/1/2000,447,2,37,52145,2127,0.00857,7.66247,3.61092,Oceania
"Micronesia, Fed. Sts.",7/1/2000,0,4,49,107103,2181,0.00000,7.68754,3.89182,Oceania
New Zealand,7/1/2000,1542000,47,7,3857800,13375,0.39971,9.50114,1.94591,Oceania
Australia,7/1/2000,8562000,47,6,19153000,21766,0.44703,9.98810,1.79176,Oceania
Haiti,7/1/2000,55000,0,109,8645371,424,0.00636,6.04973,4.69135,The Americas
Nicaragua,7/1/2000,90294,1,43,5073704,776,0.01780,6.65415,3.76120,The Americas
Guyana,7/1/2000,39830,7,47,733101,972,0.05433,6.87936,3.85015,The Americas
Bolivia,7/1/2000,582620,1,82,8307248,1011,0.07013,6.91870,4.40672,The Americas
Honduras,7/1/2000,155271,1,37,6218151,1143,0.02497,7.04141,3.61092,The Americas
Ecuador,7/1/2000,482213,1,33,12345023,1291,0.03906,7.16317,3.49651,The Americas
Paraguay,7/1/2000,820810,1,35,5343539,1323,0.15361,7.18766,3.55535,The Americas
Guatemala,7/1/2000,856831,1,49,11237101,1717,0.07625,7.44833,3.89182,The Americas
Suriname,7/1/2000,41048,3,40,466846,1911,0.08793,7.55538,3.68888,The Americas
Peru,7/1/2000,1273857,3,41,25861887,2061,0.04926,7.63095,3.71357,The Americas
El Salvador,7/1/2000,743628,1,34,5940305,2211,0.12518,7.70120,3.52636,The Americas
Colombia,7/1/2000,2256801,2,27,39764166,2524,0.05675,7.83360,3.29584,The Americas
Cuba,7/1/2000,6536,1,9,11104313,2753,0.00059,7.92045,2.19722,The Americas
Dominican Republic,7/1/2000,705431,4,41,8591967,2793,0.08210,7.93487,3.71357,The Americas
Belize,7/1/2000,16812,6,27,249800,3331,0.06730,8.11103,3.29584,The Americas
Jamaica,7/1/2000,366952,3,30,2589389,3479,0.14171,8.15450,3.40120,The Americas
St. Vincent and the Grenadines,7/1/2000,2361,3,22,107891,3684,0.02188,8.21175,3.09104,The Americas
Brazil,7/1/2000,23188171,3,36,174425387,3696,0.13294,8.21501,3.58352,The Americas
Panama,7/1/2000,410401,7,26,2956126,3931,0.13883,8.27665,3.25810,The Americas
Costa Rica,7/1/2000,211614,6,13,3919180,4069,0.05399,8.31115,2.56495,The Americas
St. Lucia,7/1/2000,2500,5,18,155996,4622,0.01603,8.43858,2.89037,The Americas
Dominica,7/1/2000,1200,9,15,69672,4718,0.01722,8.45914,2.70805,The Americas
"Venezuela, RB",7/1/2000,5447172,3,25,24311000,4819,0.22406,8.48032,3.21888,The Americas
Chile,7/1/2000,3401525,17,11,15419820,4878,0.22059,8.49249,2.39790,The Americas
Grenada,7/1/2000,4300,4,15,101522,5120,0.04236,8.54091,2.70805,The Americas
Mexico,7/1/2000,14077880,5,29,99959594,5817,0.14084,8.66854,3.36730,The Americas
Trinidad and Tobago,7/1/2000,161860,8,32,1292058,6311,0.12527,8.75005,3.46574,The Americas
Uruguay,7/1/2000,410787,11,17,3300847,6914,0.12445,8.84130,2.83321,The Americas
Argentina,7/1/2000,6487950,7,20,36930709,7696,0.17568,8.94846,2.99573,The Americas
St. Kitts and Nevis,7/1/2000,1200,6,16,44286,8599,0.02710,9.05940,2.77259,The Americas
Barbados,7/1/2000,28467,4,17,267511,9565,0.10641,9.16587,2.83321,The Americas
Antigua and Barbuda,7/1/2000,22000,6,15,77656,10334,0.28330,9.24319,2.70805,The Americas
"Bahamas, The",7/1/2000,31524,8,17,297651,21258,0.10591,9.96449,2.83321,The Americas
